moda,origin,city,lead_time_days
Darat,NDC Cikupa,Aceh,7
Darat,NDC Cikupa,Bali,4
Darat,NDC Cikupa,Bandung,1
Darat,NDC Cikupa,Banyumas,2
Darat,NDC Cikupa,Banyuwangi,4
Darat,NDC Cikupa,Bekasi,1
Darat,NDC Cikupa,Bengkulu,4
Darat,NDC Cikupa,Bogor,1
Darat,NDC Cikupa,Bukit Tinggi,5
Darat,NDC Cikupa,Cianjur,1
Darat,NDC Cikupa,Cikarang,1
Darat,NDC Cikupa,Cilacap,2
Darat,NDC Cikupa,Cilegon,1
Darat,NDC Cikupa,Cimahi,1
Darat,NDC Cikupa,Cirebon,1
Darat,NDC Cikupa,Depok,1
Darat,NDC Cikupa,Garut,1
Darat,NDC Cikupa,Indramayu,1
Darat,NDC Cikupa,Jakarta,1
Darat,NDC Cikupa,Jambi,4
Darat,NDC Cikupa,Jogja,2
Darat,NDC Cikupa,Kediri,3
Darat,NDC Cikupa,Kudus,2
Darat,NDC Cikupa,Lampung,2
Darat,NDC Cikupa,Lombok,5
Darat,NDC Cikupa,Magelang,2
Darat,NDC Cikupa,Malang,3
Darat,NDC Cikupa,Mataram,5
Darat,NDC Cikupa,Medan,5
Darat,NDC Cikupa,Padang,4
Darat,NDC Cikupa,Palembang,3
Darat,NDC Cikupa,PangkalPinang,16
Darat,NDC Cikupa,Pekalongan,2
Darat,NDC Cikupa,Pekanbaru,4
Darat,NDC Cikupa,Purwokerto,2
Darat,NDC Cikupa,Semarang,2
Darat,NDC Cikupa,Serang,1
Darat,NDC Cikupa,Sidoarjo,3
Darat,NDC Cikupa,Solo,2
Darat,NDC Cikupa,Surabaya,3
Darat,NDC Cikupa,Tangerang,1
Darat,NDC Cikupa,Tasik,1
Darat,NDC Cikupa,Tasikmalaya,1
Darat,NDC Cikupa,Tegal,2
Darat,NDC Cikupa,Yogyakarta,2
Laut,NDC Cikupa,Ambon,24
Laut,NDC Cikupa,Balikpapan,17
Laut,NDC Cikupa,Banjarmasin,14
Laut,NDC Cikupa,Batam,19
Laut,NDC Cikupa,Gorontalo,27
Laut,NDC Cikupa,Jayapura,32
Laut,NDC Cikupa,Kendari,25
Laut,NDC Cikupa,Kupang,26
Laut,NDC Cikupa,Makassar,16
Laut,NDC Cikupa,Manado,25
Laut,NDC Cikupa,Medan,15
Laut,NDC Cikupa,PALANGKARAYA,16
Laut,NDC Cikupa,Palu,13
Laut,NDC Cikupa,Pangkal Pinang,13
Laut,NDC Cikupa,Pangkalpinang,16
